0-th training, T = 100.000000, E = 0.490000
1-th training, T = 100.000000, E = 0.490000
2-th training, T = 99.000000, E = 0.490000
3-th training, T = 98.010000, E = 0.490000
4-th training, T = 97.029900, E = 0.490000
5-th training, T = 96.059601, E = 0.490000
6-th training, T = 95.099005, E = 0.490000
7-th training, T = 94.148015, E = 0.490000
8-th training, T = 93.206535, E = 0.490000
9-th training, T = 92.274469, E = 0.490000
10-th training, T = 91.351725, E = 0.490000
11-th training, T = 90.438208, E = 0.490000
12-th training, T = 89.533825, E = 0.490000
13-th training, T = 88.638487, E = 0.500000
14-th training, T = 87.752102, E = 0.500000
15-th training, T = 86.874581, E = 0.500000
16-th training, T = 86.005835, E = 0.490000
17-th training, T = 85.145777, E = 0.500000
18-th training, T = 84.294319, E = 0.490000
19-th training, T = 83.451376, E = 0.490000
20-th training, T = 82.616862, E = 0.490000
21-th training, T = 81.790694, E = 0.490000
22-th training, T = 80.972787, E = 0.490000
23-th training, T = 80.163059, E = 0.490000
24-th training, T = 79.361428, E = 0.490000
25-th training, T = 78.567814, E = 0.490000
26-th training, T = 77.782136, E = 0.490000
27-th training, T = 77.004315, E = 0.490000
28-th training, T = 76.234271, E = 0.490000
29-th training, T = 75.471929, E = 0.500000
30-th training, T = 74.717209, E = 0.500000
31-th training, T = 73.970037, E = 0.500000
32-th training, T = 73.230337, E = 0.500000
33-th training, T = 72.498034, E = 0.500000
34-th training, T = 71.773053, E = 0.500000
35-th training, T = 71.055323, E = 0.500000
36-th training, T = 70.344769, E = 0.500000
37-th training, T = 69.641322, E = 0.500000
38-th training, T = 68.944909, E = 0.500000
39-th training, T = 68.255460, E = 0.500000
40-th training, T = 67.572905, E = 0.500000
41-th training, T = 66.897176, E = 0.500000
42-th training, T = 66.228204, E = 0.500000
43-th training, T = 65.565922, E = 0.500000
44-th training, T = 64.910263, E = 0.500000
45-th training, T = 64.261160, E = 0.500000
46-th training, T = 63.618549, E = 0.500000
47-th training, T = 62.982363, E = 0.500000
48-th training, T = 62.352539, E = 0.500000
49-th training, T = 61.729014, E = 0.500000
50-th training, T = 61.111724, E = 0.500000
51-th training, T = 60.500607, E = 0.500000
52-th training, T = 59.895601, E = 0.500000
53-th training, T = 59.296645, E = 0.500000
54-th training, T = 58.703678, E = 0.500000
55-th training, T = 58.116641, E = 0.500000
56-th training, T = 57.535475, E = 0.500000
57-th training, T = 56.960120, E = 0.500000
58-th training, T = 56.390519, E = 0.500000
59-th training, T = 55.826614, E = 0.500000
60-th training, T = 55.268348, E = 0.500000
61-th training, T = 54.715664, E = 0.500000
62-th training, T = 54.168508, E = 0.500000
63-th training, T = 53.626823, E = 0.500000
64-th training, T = 53.090554, E = 0.500000
65-th training, T = 52.559649, E = 0.500000
66-th training, T = 52.034052, E = 0.500000
67-th training, T = 51.513712, E = 0.500000
68-th training, T = 50.998575, E = 0.500000
69-th training, T = 50.488589, E = 0.500000
70-th training, T = 49.983703, E = 0.500000
71-th training, T = 49.483866, E = 0.500000
72-th training, T = 48.989027, E = 0.500000
73-th training, T = 48.499137, E = 0.500000
74-th training, T = 48.014146, E = 0.500000
75-th training, T = 47.534004, E = 0.500000
76-th training, T = 47.058664, E = 0.500000
77-th training, T = 46.588078, E = 0.500000
78-th training, T = 46.122197, E = 0.500000
79-th training, T = 45.660975, E = 0.500000
80-th training, T = 45.204365, E = 0.500000
81-th training, T = 44.752321, E = 0.490000
82-th training, T = 44.304798, E = 0.500000
83-th training, T = 43.861750, E = 0.500000
84-th training, T = 43.423133, E = 0.490000
85-th training, T = 42.988901, E = 0.490000
86-th training, T = 42.559012, E = 0.490000
87-th training, T = 42.133422, E = 0.490000
88-th training, T = 41.712088, E = 0.490000
89-th training, T = 41.294967, E = 0.490000
90-th training, T = 40.882017, E = 0.500000
91-th training, T = 40.473197, E = 0.500000
92-th training, T = 40.068465, E = 0.500000
93-th training, T = 39.667781, E = 0.500000
94-th training, T = 39.271103, E = 0.500000
95-th training, T = 38.878392, E = 0.490000
96-th training, T = 38.489608, E = 0.500000
97-th training, T = 38.104712, E = 0.500000
98-th training, T = 37.723665, E = 0.500000
99-th training, T = 37.346428, E = 0.500000
100-th training, T = 36.972964, E = 0.500000
101-th training, T = 36.603234, E = 0.500000
102-th training, T = 36.237202, E = 0.500000
103-th training, T = 35.874830, E = 0.500000
104-th training, T = 35.516081, E = 0.490000
105-th training, T = 35.160921, E = 0.490000
106-th training, T = 34.809311, E = 0.500000
107-th training, T = 34.461218, E = 0.500000
108-th training, T = 34.116606, E = 0.490000
109-th training, T = 33.775440, E = 0.500000
110-th training, T = 33.437686, E = 0.500000
111-th training, T = 33.103309, E = 0.500000
112-th training, T = 32.772276, E = 0.490000
113-th training, T = 32.444553, E = 0.500000
114-th training, T = 32.120107, E = 0.500000
115-th training, T = 31.798906, E = 0.500000
116-th training, T = 31.480917, E = 0.500000
117-th training, T = 31.166108, E = 0.490000
118-th training, T = 30.854447, E = 0.490000
119-th training, T = 30.545903, E = 0.490000
120-th training, T = 30.240444, E = 0.490000
121-th training, T = 29.938039, E = 0.490000
122-th training, T = 29.638659, E = 0.490000
123-th training, T = 29.342272, E = 0.490000
124-th training, T = 29.048849, E = 0.490000
125-th training, T = 28.758361, E = 0.490000
126-th training, T = 28.470777, E = 0.490000
127-th training, T = 28.186070, E = 0.490000
128-th training, T = 27.904209, E = 0.490000
129-th training, T = 27.625167, E = 0.490000
130-th training, T = 27.348915, E = 0.490000
131-th training, T = 27.075426, E = 0.490000
132-th training, T = 26.804672, E = 0.490000
133-th training, T = 26.536625, E = 0.490000
134-th training, T = 26.271259, E = 0.500000
135-th training, T = 26.008546, E = 0.500000
136-th training, T = 25.748461, E = 0.500000
137-th training, T = 25.490976, E = 0.500000
138-th training, T = 25.236066, E = 0.490000
139-th training, T = 24.983706, E = 0.500000
140-th training, T = 24.733869, E = 0.500000
141-th training, T = 24.486530, E = 0.500000
142-th training, T = 24.241665, E = 0.500000
143-th training, T = 23.999248, E = 0.490000
144-th training, T = 23.759255, E = 0.500000
145-th training, T = 23.521663, E = 0.490000
146-th training, T = 23.286446, E = 0.500000
147-th training, T = 23.053582, E = 0.500000
148-th training, T = 22.823046, E = 0.500000
149-th training, T = 22.594816, E = 0.500000
150-th training, T = 22.368867, E = 0.490000
151-th training, T = 22.145179, E = 0.490000
152-th training, T = 21.923727, E = 0.500000
153-th training, T = 21.704490, E = 0.500000
154-th training, T = 21.487445, E = 0.500000
155-th training, T = 21.272570, E = 0.500000
156-th training, T = 21.059845, E = 0.500000
157-th training, T = 20.849246, E = 0.500000
158-th training, T = 20.640754, E = 0.490000
159-th training, T = 20.434346, E = 0.500000
160-th training, T = 20.230003, E = 0.500000
161-th training, T = 20.027703, E = 0.490000
162-th training, T = 19.827426, E = 0.500000
163-th training, T = 19.629151, E = 0.500000
164-th training, T = 19.432860, E = 0.500000
165-th training, T = 19.238531, E = 0.500000
166-th training, T = 19.046146, E = 0.500000
167-th training, T = 18.855685, E = 0.500000
168-th training, T = 18.667128, E = 0.490000
169-th training, T = 18.480456, E = 0.490000
170-th training, T = 18.295652, E = 0.500000
171-th training, T = 18.112695, E = 0.500000
172-th training, T = 17.931568, E = 0.490000
173-th training, T = 17.752253, E = 0.490000
174-th training, T = 17.574730, E = 0.490000
175-th training, T = 17.398983, E = 0.490000
176-th training, T = 17.224993, E = 0.490000
177-th training, T = 17.052743, E = 0.490000
178-th training, T = 16.882216, E = 0.490000
179-th training, T = 16.713394, E = 0.490000
180-th training, T = 16.546260, E = 0.490000
181-th training, T = 16.380797, E = 0.500000
182-th training, T = 16.216989, E = 0.490000
183-th training, T = 16.054819, E = 0.500000
184-th training, T = 15.894271, E = 0.500000
185-th training, T = 15.735328, E = 0.500000
186-th training, T = 15.577975, E = 0.500000
187-th training, T = 15.422195, E = 0.500000
188-th training, T = 15.267973, E = 0.500000
189-th training, T = 15.115293, E = 0.500000
190-th training, T = 14.964141, E = 0.500000
191-th training, T = 14.814499, E = 0.500000
192-th training, T = 14.666354, E = 0.500000
193-th training, T = 14.519691, E = 0.500000
194-th training, T = 14.374494, E = 0.500000
195-th training, T = 14.230749, E = 0.500000
196-th training, T = 14.088441, E = 0.500000
197-th training, T = 13.947557, E = 0.490000
198-th training, T = 13.808081, E = 0.500000
199-th training, T = 13.670000, E = 0.500000
200-th training, T = 13.533300, E = 0.500000
201-th training, T = 13.397967, E = 0.500000
202-th training, T = 13.263988, E = 0.500000
203-th training, T = 13.131348, E = 0.500000
204-th training, T = 13.000034, E = 0.500000
205-th training, T = 12.870034, E = 0.500000
206-th training, T = 12.741334, E = 0.500000
207-th training, T = 12.613920, E = 0.500000
208-th training, T = 12.487781, E = 0.490000
209-th training, T = 12.362903, E = 0.500000
210-th training, T = 12.239274, E = 0.500000
211-th training, T = 12.116882, E = 0.500000
212-th training, T = 11.995713, E = 0.500000
213-th training, T = 11.875756, E = 0.490000
214-th training, T = 11.756998, E = 0.500000
215-th training, T = 11.639428, E = 0.500000
216-th training, T = 11.523034, E = 0.490000
217-th training, T = 11.407804, E = 0.500000
218-th training, T = 11.293725, E = 0.500000
219-th training, T = 11.180788, E = 0.500000
220-th training, T = 11.068980, E = 0.500000
221-th training, T = 10.958291, E = 0.500000
222-th training, T = 10.848708, E = 0.500000
223-th training, T = 10.740221, E = 0.500000
224-th training, T = 10.632818, E = 0.500000
225-th training, T = 10.526490, E = 0.500000
226-th training, T = 10.421225, E = 0.500000
227-th training, T = 10.317013, E = 0.500000
228-th training, T = 10.213843, E = 0.500000
229-th training, T = 10.111704, E = 0.500000
230-th training, T = 10.010587, E = 0.500000
231-th training, T = 9.910482, E = 0.500000
232-th training, T = 9.811377, E = 0.500000
233-th training, T = 9.713263, E = 0.500000
234-th training, T = 9.616130, E = 0.500000
235-th training, T = 9.519969, E = 0.500000
236-th training, T = 9.424769, E = 0.500000
237-th training, T = 9.330522, E = 0.500000
238-th training, T = 9.237216, E = 0.500000
239-th training, T = 9.144844, E = 0.500000
240-th training, T = 9.053396, E = 0.500000
241-th training, T = 8.962862, E = 0.490000
242-th training, T = 8.873233, E = 0.490000
243-th training, T = 8.784501, E = 0.490000
244-th training, T = 8.696656, E = 0.490000
245-th training, T = 8.609689, E = 0.490000
246-th training, T = 8.523592, E = 0.490000
247-th training, T = 8.438357, E = 0.490000
248-th training, T = 8.353973, E = 0.490000
249-th training, T = 8.270433, E = 0.490000
250-th training, T = 8.187729, E = 0.490000
251-th training, T = 8.105852, E = 0.490000
252-th training, T = 8.024793, E = 0.490000
253-th training, T = 7.944545, E = 0.490000
254-th training, T = 7.865100, E = 0.490000
255-th training, T = 7.786449, E = 0.490000
256-th training, T = 7.708584, E = 0.490000
257-th training, T = 7.631498, E = 0.500000
258-th training, T = 7.555183, E = 0.500000
259-th training, T = 7.479632, E = 0.490000
260-th training, T = 7.404835, E = 0.490000
261-th training, T = 7.330787, E = 0.490000
262-th training, T = 7.257479, E = 0.500000
263-th training, T = 7.184904, E = 0.490000
264-th training, T = 7.113055, E = 0.490000
265-th training, T = 7.041925, E = 0.500000
266-th training, T = 6.971505, E = 0.500000
267-th training, T = 6.901790, E = 0.490000
268-th training, T = 6.832772, E = 0.500000
269-th training, T = 6.764445, E = 0.500000
270-th training, T = 6.696800, E = 0.500000
271-th training, T = 6.629832, E = 0.490000
272-th training, T = 6.563534, E = 0.500000
273-th training, T = 6.497899, E = 0.490000
274-th training, T = 6.432920, E = 0.500000
275-th training, T = 6.368590, E = 0.500000
276-th training, T = 6.304905, E = 0.500000
277-th training, T = 6.241855, E = 0.500000
278-th training, T = 6.179437, E = 0.500000
279-th training, T = 6.117643, E = 0.490000
280-th training, T = 6.056466, E = 0.500000
281-th training, T = 5.995901, E = 0.500000
282-th training, T = 5.935942, E = 0.500000
283-th training, T = 5.876583, E = 0.490000
284-th training, T = 5.817817, E = 0.490000
285-th training, T = 5.759639, E = 0.500000
286-th training, T = 5.702043, E = 0.500000
287-th training, T = 5.645022, E = 0.500000
288-th training, T = 5.588572, E = 0.490000
289-th training, T = 5.532686, E = 0.500000
290-th training, T = 5.477359, E = 0.500000
291-th training, T = 5.422586, E = 0.500000
292-th training, T = 5.368360, E = 0.490000
293-th training, T = 5.314676, E = 0.490000
294-th training, T = 5.261530, E = 0.480000
295-th training, T = 5.208914, E = 0.480000
296-th training, T = 5.156825, E = 0.480000
297-th training, T = 5.105257, E = 0.490000
298-th training, T = 5.054204, E = 0.500000
299-th training, T = 5.003662, E = 0.490000
300-th training, T = 4.953626, E = 0.500000
301-th training, T = 4.904089, E = 0.500000
302-th training, T = 4.855049, E = 0.490000
303-th training, T = 4.806498, E = 0.490000
304-th training, T = 4.758433, E = 0.500000
305-th training, T = 4.710849, E = 0.500000
306-th training, T = 4.663740, E = 0.490000
307-th training, T = 4.617103, E = 0.500000
308-th training, T = 4.570932, E = 0.500000
309-th training, T = 4.525222, E = 0.500000
310-th training, T = 4.479970, E = 0.500000
311-th training, T = 4.435171, E = 0.500000
312-th training, T = 4.390819, E = 0.500000
313-th training, T = 4.346911, E = 0.500000
314-th training, T = 4.303442, E = 0.490000
315-th training, T = 4.260407, E = 0.490000
316-th training, T = 4.217803, E = 0.480000
317-th training, T = 4.175625, E = 0.480000
318-th training, T = 4.133869, E = 0.500000
319-th training, T = 4.092530, E = 0.480000
320-th training, T = 4.051605, E = 0.500000
321-th training, T = 4.011089, E = 0.480000
322-th training, T = 3.970978, E = 0.480000
323-th training, T = 3.931268, E = 0.500000
324-th training, T = 3.891955, E = 0.490000
325-th training, T = 3.853036, E = 0.500000
326-th training, T = 3.814505, E = 0.500000
327-th training, T = 3.776360, E = 0.500000
328-th training, T = 3.738597, E = 0.500000
329-th training, T = 3.701211, E = 0.500000
330-th training, T = 3.664199, E = 0.500000
331-th training, T = 3.627557, E = 0.490000
332-th training, T = 3.591281, E = 0.500000
333-th training, T = 3.555368, E = 0.500000
334-th training, T = 3.519815, E = 0.500000
335-th training, T = 3.484617, E = 0.500000
336-th training, T = 3.449770, E = 0.500000
337-th training, T = 3.415273, E = 0.500000
338-th training, T = 3.381120, E = 0.500000
339-th training, T = 3.347309, E = 0.500000
340-th training, T = 3.313836, E = 0.500000
341-th training, T = 3.280697, E = 0.500000
342-th training, T = 3.247890, E = 0.500000
343-th training, T = 3.215411, E = 0.500000
344-th training, T = 3.183257, E = 0.500000
345-th training, T = 3.151425, E = 0.500000
346-th training, T = 3.119911, E = 0.500000
347-th training, T = 3.088711, E = 0.500000
348-th training, T = 3.057824, E = 0.500000
349-th training, T = 3.027246, E = 0.500000
350-th training, T = 2.996974, E = 0.500000
351-th training, T = 2.967004, E = 0.500000
352-th training, T = 2.937334, E = 0.500000
353-th training, T = 2.907960, E = 0.500000
354-th training, T = 2.878881, E = 0.500000
355-th training, T = 2.850092, E = 0.500000
356-th training, T = 2.821591, E = 0.500000
357-th training, T = 2.793375, E = 0.500000
358-th training, T = 2.765441, E = 0.500000
359-th training, T = 2.737787, E = 0.500000
360-th training, T = 2.710409, E = 0.500000
361-th training, T = 2.683305, E = 0.500000
362-th training, T = 2.656472, E = 0.480000
363-th training, T = 2.629907, E = 0.490000
364-th training, T = 2.603608, E = 0.500000
365-th training, T = 2.577572, E = 0.490000
366-th training, T = 2.551796, E = 0.490000
367-th training, T = 2.526278, E = 0.490000
368-th training, T = 2.501016, E = 0.490000
369-th training, T = 2.476006, E = 0.500000
370-th training, T = 2.451245, E = 0.490000
371-th training, T = 2.426733, E = 0.490000
372-th training, T = 2.402466, E = 0.490000
373-th training, T = 2.378441, E = 0.500000
374-th training, T = 2.354657, E = 0.490000
375-th training, T = 2.331110, E = 0.490000
376-th training, T = 2.307799, E = 0.490000
377-th training, T = 2.284721, E = 0.480000
378-th training, T = 2.261874, E = 0.480000
379-th training, T = 2.239255, E = 0.500000
380-th training, T = 2.216862, E = 0.500000
381-th training, T = 2.194694, E = 0.500000
382-th training, T = 2.172747, E = 0.500000
383-th training, T = 2.151019, E = 0.500000
384-th training, T = 2.129509, E = 0.500000
385-th training, T = 2.108214, E = 0.500000
386-th training, T = 2.087132, E = 0.490000
387-th training, T = 2.066261, E = 0.500000
388-th training, T = 2.045598, E = 0.500000
389-th training, T = 2.025142, E = 0.500000
390-th training, T = 2.004891, E = 0.500000
391-th training, T = 1.984842, E = 0.500000
392-th training, T = 1.964993, E = 0.500000
393-th training, T = 1.945343, E = 0.480000
394-th training, T = 1.925890, E = 0.480000
395-th training, T = 1.906631, E = 0.480000
396-th training, T = 1.887565, E = 0.500000
397-th training, T = 1.868689, E = 0.500000
398-th training, T = 1.850002, E = 0.500000
399-th training, T = 1.831502, E = 0.500000
400-th training, T = 1.813187, E = 0.480000
401-th training, T = 1.795055, E = 0.500000
402-th training, T = 1.777105, E = 0.500000
403-th training, T = 1.759334, E = 0.500000
404-th training, T = 1.741740, E = 0.500000
405-th training, T = 1.724323, E = 0.500000
406-th training, T = 1.707080, E = 0.490000
407-th training, T = 1.690009, E = 0.490000
408-th training, T = 1.673109, E = 0.500000
409-th training, T = 1.656378, E = 0.500000
410-th training, T = 1.639814, E = 0.500000
411-th training, T = 1.623416, E = 0.500000
412-th training, T = 1.607182, E = 0.490000
413-th training, T = 1.591110, E = 0.500000
414-th training, T = 1.575199, E = 0.500000
415-th training, T = 1.559447, E = 0.480000
416-th training, T = 1.543852, E = 0.490000
417-th training, T = 1.528414, E = 0.500000
418-th training, T = 1.513130, E = 0.490000
419-th training, T = 1.497998, E = 0.500000
420-th training, T = 1.483018, E = 0.500000
421-th training, T = 1.468188, E = 0.500000
422-th training, T = 1.453506, E = 0.500000
423-th training, T = 1.438971, E = 0.500000
424-th training, T = 1.424582, E = 0.500000
425-th training, T = 1.410336, E = 0.490000
426-th training, T = 1.396232, E = 0.490000
427-th training, T = 1.382270, E = 0.490000
428-th training, T = 1.368447, E = 0.490000
429-th training, T = 1.354763, E = 0.500000
430-th training, T = 1.341215, E = 0.500000
431-th training, T = 1.327803, E = 0.500000
432-th training, T = 1.314525, E = 0.500000
433-th training, T = 1.301380, E = 0.500000
434-th training, T = 1.288366, E = 0.490000
435-th training, T = 1.275482, E = 0.500000
